EMPRESA,PROYECTO,N° WM,NOMBRES,APELLIDOS,CARGO TRABAJADOR,MAIL,RUT,ESTADO PEATON,ESTADO CONDUCTOR/OPERADOR,TURNO,FECHA INGRESO TURNO,FECHA SALIDA TURNO,CargoReporte,DependenciaTurno,NOMBRE_RESPORTABILIDAD,APELLIDO_RESPORTABILIDAD,MAIL_RESPORTABILIDAD,TURNO_REPORTABILIDAD,FECHA_INGRESO_TURNO_RESPORTABILIDAD,FECHA_SALIDA_TURNO_RESPORTABILIDAD
Perforaciones Andinas SpA,Proyecto Cerro Rojo,23,Jaime Claudio,Rios Aguilera,RIGGER,jaime.rios@perforacionesandinas.cl,20.829.471-7,ACREDITADO,NO ACREDITADO,A,2025-11-15,2025-11-28,JEFE FAENA,NO,Diego Bruno,Castillo Escobar,diego.castillo@perforacionesandinas.cl,A,2025-11-15,2025-11-28
Perforaciones Andinas SpA,Proyecto Cerro Rojo,23,Jaime Claudio,Rios Aguilera,RIGGER,jaime.rios@perforacionesandinas.cl,20.829.471-7,ACREDITADO,NO ACREDITADO,A,2025-11-15,2025-11-28,SUPERVISOR,SI,Juan Mario,Tapia Gallardo,juan.tapia@perforacionesandinas.cl,A,2025-11-15,2025-11-28
Perforaciones Andinas SpA,Proyecto Cerro Rojo,29,Agustin Emilio,Godoy Opazo,PERFORISTA DE SONDAJE,agustin.godoy@perforacionesandinas.cl,20.794.458-0,ACREDITADO,ACREDITADO,A,2025-11-15,2025-11-28,ADMINISTRADOR DE CONTRATO,NO,Valentina Sandra,Castillo Guzman,valentina.castillo@perforacionesandinas.cl,A,2025-11-15,2025-11-28
Perforaciones Andinas SpA,Proyecto Cerro Rojo,29,Agustin Emilio,Godoy Opazo,PERFORISTA DE SONDAJE,agustin.godoy@perforacionesandinas.cl,20.794.458-0,ACREDITADO,ACREDITADO,A,2025-11-15,2025-11-28,JEFE FAENA,NO,Diego Bruno,Castillo Escobar,diego.castillo@perforacionesandinas.cl,A,2025-11-15,2025-11-28
Perforaciones Andinas SpA,Proyecto Cerro Rojo,29,Agustin Emilio,Godoy Opazo,PERFORISTA DE SONDAJE,agustin.godoy@perforacionesandinas.cl,20.794.458-0,ACREDITADO,ACREDITADO,A,2025-11-15,2025-11-28,SUPERVISOR,SI,Juan Mario,Tapia Gallardo,juan.tapia@perforacionesandinas.cl,A,2025-11-15,2025-11-28
Perforaciones Andinas SpA,Proyecto Cerro Rojo,20,Maximiliano Vicente,Yanez Leiva,MANTENEDOR,maximiliano.yanez@perforacionesandinas.cl,24.307.145-3,ACREDITADO,ACREDITADO,A,2025-11-21,2025-11-28,ADMINISTRADOR DE CONTRATO,NO,Valentina Sandra,Castillo Guzman,valentina.castillo@perforacionesandinas.cl,A,2025-11-15,2025-11-28
Perforaciones Andinas SpA,Proyecto Cerro Rojo,20,Maximiliano Vicente,Yanez Leiva,MANTENEDOR,maximiliano.yanez@perforacionesandinas.cl,24.307.145-3,ACREDITADO,ACREDITADO,A,2025-11-21,2025-11-28,JEFE FAENA,NO,Diego Bruno,Castillo Escobar,diego.castillo@perforacionesandinas.cl,A,2025-11-15,2025-11-28
Perforaciones Andinas SpA,Proyecto Cerro Rojo,20,Maximiliano Vicente,Yanez Leiva,MANTENEDOR,maximiliano.yanez@perforacionesandinas.cl,24.307.145-3,ACREDITADO,ACREDITADO,A,2025-11-21,2025-11-28,SUPERVISOR,SI,Juan Mario,Tapia Gallardo,juan.tapia@perforacionesandinas.cl,A,2025-11-15,2025-11-28
Perforaciones Andinas SpA,Proyecto Cerro Rojo,34,Carlos Cristobal,Yanez Espinoza,MANTENEDOR,carlos.yanez@perforacionesandinas.cl,13.352.354-5,ACREDITADO,ACREDITADO,A,2025-11-15,2025-11-28,ADMINISTRADOR DE CONTRATO,NO,Valentina Sandra,Castillo Guzman,valentina.castillo@perforacionesandinas.cl,A,2025-11-15,2025-11-28
Perforaciones Andinas SpA,Proyecto Cerro Rojo,34,Carlos Cristobal,Yanez Espinoza,MANTENEDOR,carlos.yanez@perforacionesandinas.cl,13.352.354-5,ACREDITADO,ACREDITADO,A,2025-11-15,2025-11-28,JEFE FAENA,NO,Diego Bruno,Castillo Escobar,diego.castillo@perforacionesandinas.cl,A,2025-11-15,2025-11-28
Perforaciones Andinas SpA,Proyecto Cerro Rojo,34,Carlos Cristobal,Yanez Espinoza,MANTENEDOR,carlos.yanez@perforacionesandinas.cl,13.352.354-5,ACREDITADO,ACREDITADO,A,2025-11-15,2025-11-28,SUPERVISOR,SI,Juan Mario,Tapia Gallardo,juan.tapia@perforacionesandinas.cl,A,2025-11-15,2025-11-28
Perforaciones Andinas SpA,Proyecto Cerro Rojo,25,Daniel Gabriel,Mendoza Parra,MANTENEDOR,daniel.mendoza@perforacionesandinas.cl,18.952.585-0,ACREDITADO,NO ACREDITADO,A,2025-11-15,2025-11-28,ADMINISTRADOR DE CONTRATO,NO,Valentina Sandra,Castillo Guzman,valentina.castillo@perforacionesandinas.cl,A,2025-11-15,2025-11-28
Perforaciones Andinas SpA,Proyecto Cerro Rojo,25,Daniel Gabriel,Mendoza Parra,MANTENEDOR,daniel.mendoza@perforacionesandinas.cl,18.952.585-0,ACREDITADO,NO ACREDITADO,A,2025-11-15,2025-11-28,JEFE FAENA,NO,Diego Bruno,Castillo Escobar,diego.castillo@perforacionesandinas.cl,A,2025-11-15,2025-11-28
Perforaciones Andinas SpA,Proyecto Cerro Rojo,25,Daniel Gabriel,Mendoza Parra,MANTENEDOR,daniel.mendoza@perforacionesandinas.cl,18.952.585-0,ACREDITADO,NO ACREDITADO,A,2025-11-15,2025-11-28,SUPERVISOR,SI,Juan Mario,Tapia Gallardo,juan.tapia@perforacionesandinas.cl,A,2025-11-15,2025-11-28
Perforaciones Andinas SpA,Proyecto Cerro Rojo,37,Oscar Manuel,Opazo Molina,CHOFER DE SONDAJE,oscar.opazo@perforacionesandinas.cl,15.244.407-9,ACREDITADO,ACREDITADO,A,2025-11-15,2025-11-28,ADMINISTRADOR DE CONTRATO,NO,Valentina Sandra,Castillo Guzman,valentina.castillo@perforacionesandinas.cl,A,2025-11-15,2025-11-28
Perforaciones Andinas SpA,Proyecto Cerro Rojo,37,Oscar Manuel,Opazo Molina,CHOFER DE SONDAJE,oscar.opazo@perforacionesandinas.cl,15.244.407-9,ACREDITADO,ACREDITADO,A,2025-11-15,2025-11-28,JEFE FAENA,NO,Diego Bruno,Castillo Escobar,diego.castillo@perforacionesandinas.cl,A,2025-11-15,2025-11-28
Perforaciones Andinas SpA,Proyecto Cerro Rojo,37,Oscar Manuel,Opazo Molina,CHOFER DE SONDAJE,oscar.opazo@perforacionesandinas.cl,15.244.407-9,ACREDITADO,ACREDITADO,A,2025-11-15,2025-11-28,SUPERVISOR,SI,Juan Mario,Tapia Gallardo,juan.tapia@perforacionesandinas.cl,A,2025-11-15,2025-11-28
Perforaciones Andinas SpA,Proyecto Cerro Rojo,19,Victor Patricio,Godoy Campos,CHOFER DE SONDAJE,victor.godoy@perforacionesandinas.cl,17.598.225-6,ACREDITADO,ACREDITADO,B,2025-11-15,2025-11-28,ADMINISTRADOR DE CONTRATO,NO,Valentina Sandra,Castillo Guzman,valentina.castillo@perforacionesandinas.cl,A,2025-11-15,2025-11-28
Perforaciones Andinas SpA,Proyecto Cerro Rojo,19,Victor Patricio,Godoy Campos,CHOFER DE SONDAJE,victor.godoy@perforacionesandinas.cl,17.598.225-6,ACREDITADO,ACREDITADO,B,2025-11-15,2025-11-28,JEFE FAENA,NO,Diego Bruno,Castillo Escobar,diego.castillo@perforacionesandinas.cl,A,2025-11-15,2025-11-28
Perforaciones Andinas SpA,Proyecto Cerro Rojo,19,Victor Patricio,Godoy Campos,CHOFER DE SONDAJE,victor.godoy@perforacionesandinas.cl,17.598.225-6,ACREDITADO,ACREDITADO,B,2025-11-15,2025-11-28,SUPERVISOR,SI,Vicente Tomas,Vera Cortes,vicente.vera@perforacionesandinas.cl,B,2025-11-15,2025-11-28
Perforaciones Andinas SpA,Proyecto Cerro Rojo,39,Pedro Agustin,Ortiz Montes,CHOFER DE SONDAJE,pedro.ortiz@perforacionesandinas.cl,16.032.036-2,ACREDITADO,ACREDITADO,A,2025-11-15,2025-11-28,ADMINISTRADOR DE CONTRATO,NO,Valentina Sandra,Castillo Guzman,valentina.castillo@perforacionesandinas.cl,A,2025-11-15,2025-11-28
Perforaciones Andinas SpA,Proyecto Cerro Rojo,39,Pedro Agustin,Ortiz Montes,CHOFER DE SONDAJE,pedro.ortiz@perforacionesandinas.cl,16.032.036-2,ACREDITADO,ACREDITADO,A,2025-11-15,2025-11-28,JEFE FAENA,NO,Diego Bruno,Castillo Escobar,diego.castillo@perforacionesandinas.cl,A,2025-11-15,2025-11-28
Perforaciones Andinas SpA,Proyecto Cerro Rojo,39,Pedro Agustin,Ortiz Montes,CHOFER DE SONDAJE,pedro.ortiz@perforacionesandinas.cl,16.032.036-2,ACREDITADO,ACREDITADO,A,2025-11-15,2025-11-28,SUPERVISOR,SI,Juan Mario,Tapia Gallardo,juan.tapia@perforacionesandinas.cl,A,2025-11-15,2025-11-28
Perforaciones Andinas SpA,Proyecto Cerro Rojo,26,Daniel Alejandro,Pizarro Campos,CHOFER DE SERVICIO,daniel.pizarro@perforacionesandinas.cl,20.103.684-4,ACREDITADO,ACREDITADO,A,2025-11-15,2025-11-28,ADMINISTRADOR DE CONTRATO,NO,Valentina Sandra,Castillo Guzman,valentina.castillo@perforacionesandinas.cl,A,2025-11-15,2025-11-28
Perforaciones Andinas SpA,Proyecto Cerro Rojo,26,Daniel Alejandro,Pizarro Campos,CHOFER DE SERVICIO,daniel.pizarro@perforacionesandinas.cl,20.103.684-4,ACREDITADO,ACREDITADO,A,2025-11-15,2025-11-28,JEFE FAENA,NO,Diego Bruno,Castillo Escobar,diego.castillo@perforacionesandinas.cl,A,2025-11-15,2025-11-28
Perforaciones Andinas SpA,Proyecto Cerro Rojo,26,Daniel Alejandro,Pizarro Campos,CHOFER DE SERVICIO,daniel.pizarro@perforacionesandinas.cl,20.103.684-4,ACREDITADO,ACREDITADO,A,2025-11-15,2025-11-28,SUPERVISOR,SI,Juan Mario,Tapia Gallardo,juan.tapia@perforacionesandinas.cl,A,2025-11-15,2025-11-28
Servicios de Campamento Ltda,Proyecto Sierra Alta,60,Benjamin Victor,Palma Poblete,CHEF,benjamin.palma@servicioscampamento.cl,15.689.167-3,ACREDITADO,NO ACREDITADO,A,2025-09-23,2025-10-03,SUPERVISOR,SI,Claudia Natalia,Cortes Ahumada,claudia.cortes@servicioscampamento.cl,A,2025-09-23,2025-10-03
Servicios de Campamento Ltda,Proyecto Sierra Alta,64,Emilio Tomas,Poblete Arriagada,AYUDANTE DE COCINA,emilio.poblete@servicioscampamento.cl,19.115.898-9,ACREDITADO,NO ACREDITADO,A,2025-09-23,2025-10-03,SUPERVISOR,SI,Claudia Natalia,Cortes Ahumada,claudia.cortes@servicioscampamento.cl,A,2025-09-23,2025-10-03
Servicios de Campamento Ltda,Proyecto Sierra Alta,7,Rodrigo Roberto,Carrasco Uribe,AYUDANTE DE COCINA,rodrigo.carrasco@servicioscampamento.cl,13.581.169-6,ACREDITADO,NO ACREDITADO,A,2025-09-23,2025-10-03,SUPERVISOR,SI,Claudia Natalia,Cortes Ahumada,claudia.cortes@servicioscampamento.cl,A,2025-09-23,2025-10-03
Servicios de Campamento Ltda,Proyecto Sierra Alta,66,Roberto Claudio,Ibanez Cortes,CHEF,roberto.ibanez@servicioscampamento.cl,20.621.170-9,ACREDITADO,NO ACREDITADO,A,2025-09-23,2025-10-03,SUPERVISOR,SI,Claudia Natalia,Cortes Ahumada,claudia.cortes@servicioscampamento.cl,A,2025-09-23,2025-10-03
Servicios de Campamento Ltda,Proyecto Sierra Alta,62,Carlos Hernan,Uribe Moya,AYUDANTE DE COCINA,carlos.uribe@servicioscampamento.cl,18.826.799-8,ACREDITADO,NO ACREDITADO,A,2025-09-23,2025-10-03,SUPERVISOR,SI,Claudia Natalia,Cortes Ahumada,claudia.cortes@servicioscampamento.cl,A,2025-09-23,2025-10-03
Servicios de Campamento Ltda,Proyecto Sierra Alta,32,Manuel Hugo,Riquelme Medina,CAMPAMENTERO,manuel.riquelme@servicioscampamento.cl,12.962.107-9,ACREDITADO,NO ACREDITADO,A,2025-09-23,2025-10-03,SUPERVISOR,SI,Claudia Natalia,Cortes Ahumada,claudia.cortes@servicioscampamento.cl,A,2025-09-23,2025-10-03
Servicios de Campamento Ltda,Proyecto Sierra Alta,33,Gonzalo Vicente,Godoy Montes,CAMPAMENTERO,gonzalo.godoy@servicioscampamento.cl,16.784.304-2,ACREDITADO,NO ACREDITADO,A,2025-09-23,2025-10-03,SUPERVISOR,SI,Claudia Natalia,Cortes Ahumada,claudia.cortes@servicioscampamento.cl,A,2025-09-23,2025-10-03
Servicios de Campamento Ltda,Proyecto Sierra Alta,14,Bruno Pablo,Paredes Bravo,CAMPAMENTERO,bruno.paredes@servicioscampamento.cl,10.432.025-2,ACREDITADO,NO ACREDITADO,A,2025-09-23,2025-10-03,SUPERVISOR,SI,Claudia Natalia,Cortes Ahumada,claudia.cortes@servicioscampamento.cl,A,2025-09-23,2025-10-03
Servicios de Campamento Ltda,Proyecto Sierra Alta,31,Claudio Patricio,Tapia Torres,ABASTECEDOR,claudio.tapia@servicioscampamento.cl,16.010.069-9,ACREDITADO,ACREDITADO,A,2025-09-23,2025-10-03,SUPERVISOR,SI,Claudia Natalia,Cortes Ahumada,claudia.cortes@servicioscampamento.cl,A,2025-09-23,2025-10-03
Servicios de Campamento Ltda,Proyecto Sierra Alta,67,Eduardo Emilio,Maldonado Opazo,ABASTECEDOR,eduardo.maldonado@servicioscampamento.cl,22.255.242-7,ACREDITADO,ACREDITADO,A,2025-09-23,2025-10-03,SUPERVISOR,SI,Claudia Natalia,Cortes Ahumada,claudia.cortes@servicioscampamento.cl,A,2025-09-23,2025-10-03
Servicios de Campamento Ltda,Proyecto Sierra Alta,17,Alejandro Agustin,Villalobos Reyes,CONDUCTOR OPERADOR,alejandro.villalobos@servicioscampamento.cl,16.732.220-4,ACREDITADO,ACREDITADO,A,2025-09-23,2025-10-03,SUPERVISOR,SI,Claudia Natalia,Cortes Ahumada,claudia.cortes@servicioscampamento.cl,A,2025-09-23,2025-10-03
Servicios de Campamento Ltda,Proyecto Sierra Alta,60,Benjamin Victor,Palma Poblete,CHEF,benjamin.palma@servicioscampamento.cl,15.689.167-3,ACREDITADO,NO ACREDITADO,A,2025-09-03,2025-09-13,SUPERVISOR,SI,Mario Joaquin,Yanez Ibanez,mario.yanez@servicioscampamento.cl,A,2025-09-03,2025-09-13
Servicios de Campamento Ltda,Proyecto Sierra Alta,64,Emilio Tomas,Poblete Arriagada,AYUDANTE DE COCINA,emilio.poblete@servicioscampamento.cl,19.115.898-9,ACREDITADO,NO ACREDITADO,A,2025-09-03,2025-09-13,SUPERVISOR,SI,Mario Joaquin,Yanez Ibanez,mario.yanez@servicioscampamento.cl,A,2025-09-03,2025-09-13
Servicios de Campamento Ltda,Proyecto Sierra Alta,7,Rodrigo Roberto,Carrasco Uribe,AYUDANTE DE COCINA,rodrigo.carrasco@servicioscampamento.cl,13.581.169-6,ACREDITADO,NO ACREDITADO,A,2025-09-03,2025-09-13,SUPERVISOR,SI,Mario Joaquin,Yanez Ibanez,mario.yanez@servicioscampamento.cl,A,2025-09-03,2025-09-13
Servicios de Campamento Ltda,Proyecto Sierra Alta,24,Ignacio Francisco,Vargas Guzman,AYUDANTE DE COCINA,ignacio.vargas@servicioscampamento.cl,14.259.426-9,ACREDITADO,NO ACREDITADO,A,2025-09-03,2025-09-13,SUPERVISOR,SI,Mario Joaquin,Yanez Ibanez,mario.yanez@servicioscampamento.cl,A,2025-09-03,2025-09-13
Servicios de Campamento Ltda,Proyecto Sierra Alta,62,Carlos Hernan,Uribe Moya,AYUDANTE DE COCINA,carlos.uribe@servicioscampamento.cl,18.826.799-8,ACREDITADO,NO ACREDITADO,A,2025-09-03,2025-09-13,SUPERVISOR,SI,Mario Joaquin,Yanez Ibanez,mario.yanez@servicioscampamento.cl,A,2025-09-03,2025-09-13
Servicios de Campamento Ltda,Proyecto Sierra Alta,32,Manuel Hugo,Riquelme Medina,CAMPAMENTERO,manuel.riquelme@servicioscampamento.cl,12.962.107-9,ACREDITADO,NO ACREDITADO,A,2025-09-03,2025-09-13,SUPERVISOR,SI,Mario Joaquin,Yanez Ibanez,mario.yanez@servicioscampamento.cl,A,2025-09-03,2025-09-13
Servicios de Campamento Ltda,Proyecto Sierra Alta,33,Gonzalo Vicente,Godoy Montes,CAMPAMENTERO,gonzalo.godoy@servicioscampamento.cl,16.784.304-2,ACREDITADO,NO ACREDITADO,A,2025-09-03,2025-09-13,SUPERVISOR,SI,Mario Joaquin,Yanez Ibanez,mario.yanez@servicioscampamento.cl,A,2025-09-03,2025-09-13
Servicios de Campamento Ltda,Proyecto Sierra Alta,14,Bruno Pablo,Paredes Bravo,CAMPAMENTERO,bruno.paredes@servicioscampamento.cl,10.432.025-2,ACREDITADO,NO ACREDITADO,A,2025-09-03,2025-09-13,SUPERVISOR,SI,Mario Joaquin,Yanez Ibanez,mario.yanez@servicioscampamento.cl,A,2025-09-03,2025-09-13
Servicios de Campamento Ltda,Proyecto Sierra Alta,31,Claudio Patricio,Tapia Torres,ABASTECEDOR,claudio.tapia@servicioscampamento.cl,16.010.069-9,ACREDITADO,ACREDITADO,A,2025-09-03,2025-09-13,SUPERVISOR,SI,Mario Joaquin,Yanez Ibanez,mario.yanez@servicioscampamento.cl,A,2025-09-03,2025-09-13
Servicios de Campamento Ltda,Proyecto Sierra Alta,63,Jorge Nicolas,Zuniga Garcia,ABASTECEDOR,jorge.zuniga@servicioscampamento.cl,22.820.042-5,ACREDITADO,ACREDITADO,A,2025-09-03,2025-09-13,SUPERVISOR,SI,Mario Joaquin,Yanez Ibanez,mario.yanez@servicioscampamento.cl,A,2025-09-03,2025-09-13
Servicios de Campamento Ltda,Proyecto Sierra Alta,17,Alejandro Agustin,Villalobos Reyes,CONDUCTOR OPERADOR,alejandro.villalobos@servicioscampamento.cl,16.732.220-4,ACREDITADO,ACREDITADO,A,2025-09-03,2025-09-13,SUPERVISOR,SI,Mario Joaquin,Yanez Ibanez,mario.yanez@servicioscampamento.cl,A,2025-09-03,2025-09-13
Servicios de Campamento Ltda,Proyecto Sierra Alta,26,Ignacio Luis,Aguilera Tapia,CHEF,ignacio.aguilera@servicioscampamento.cl,17.667.420-2,ACREDITADO,NO ACREDITADO,C,2025-09-13,2025-09-23,SUPERVISOR,SI,Raul Bruno,Aravena Zuniga,raul.aravena@servicioscampamento.cl,C,2025-09-13,2025-09-23
Servicios de Campamento Ltda,Proyecto Sierra Alta,6,Eduardo Claudio,Guzman Montes,AYUDANTE DE COCINA,eduardo.guzman@servicioscampamento.cl,21.109.743-4,ACREDITADO,NO ACREDITADO,C,2025-09-13,2025-09-23,SUPERVISOR,SI,Raul Bruno,Aravena Zuniga,raul.aravena@servicioscampamento.cl,C,2025-09-13,2025-09-23
Servicios de Campamento Ltda,Proyecto Sierra Alta,29,Martin Martin,Cortes Sandoval,AYUDANTE DE COCINA,martin.cortes@servicioscampamento.cl,14.107.156-4,ACREDITADO,NO ACREDITADO,C,2025-09-13,2025-09-23,SUPERVISOR,SI,Raul Bruno,Aravena Zuniga,raul.aravena@servicioscampamento.cl,C,2025-09-13,2025-09-23
Servicios de Campamento Ltda,Proyecto Sierra Alta,11,Alejandro Martin,Sepulveda Ahumada,AYUDANTE DE COCINA,alejandro.sepulveda@servicioscampamento.cl,16.506.680-4,ACREDITADO,NO ACREDITADO,C,2025-09-13,2025-09-23,SUPERVISOR,SI,Raul Bruno,Aravena Zuniga,raul.aravena@servicioscampamento.cl,C,2025-09-13,2025-09-23
Servicios de Campamento Ltda,Proyecto Sierra Alta,50,Martin Lucas,Rodriguez Gonzalez,AYUDANTE DE COCINA,martin.rodriguez@servicioscampamento.cl,17.998.640-K,ACREDITADO,NO ACREDITADO,C,2025-09-13,2025-09-23,SUPERVISOR,SI,Raul Bruno,Aravena Zuniga,raul.aravena@servicioscampamento.cl,C,2025-09-13,2025-09-23
Servicios de Campamento Ltda,Proyecto Sierra Alta,16,Mauricio Alvaro,Gallardo Reyes,CAMPAMENTERO,mauricio.gallardo@servicioscampamento.cl,13.650.735-4,ACREDITADO,NO ACREDITADO,C,2025-09-13,2025-09-23,SUPERVISOR,SI,Raul Bruno,Aravena Zuniga,raul.aravena@servicioscampamento.cl,C,2025-09-13,2025-09-23
Servicios de Campamento Ltda,Proyecto Sierra Alta,52,Felipe Alvaro,Zuniga Perez,CAMPAMENTERO,felipe.zuniga@servicioscampamento.cl,14.721.690-4,ACREDITADO,NO ACREDITADO,C,2025-09-13,2025-09-23,SUPERVISOR,SI,Raul Bruno,Aravena Zuniga,raul.aravena@servicioscampamento.cl,C,2025-09-13,2025-09-23
Servicios de Campamento Ltda,Proyecto Sierra Alta,9,Catalina Patricia,Carvajal Hernandez,CAMPAMENTERO,catalina.carvajal@servicioscampamento.cl,10.466.146-7,ACREDITADO,NO ACREDITADO,C,2025-09-13,2025-09-23,SUPERVISOR,SI,Raul Bruno,Aravena Zuniga,raul.aravena@servicioscampamento.cl,C,2025-09-13,2025-09-23
Servicios de Campamento Ltda,Proyecto Sierra Alta,8,Mario Leonardo,Fernandez Ahumada,ABASTECEDOR,mario.fernandez@servicioscampamento.cl,18.886.981-5,ACREDITADO,ACREDITADO,C,2025-09-13,2025-09-23,SUPERVISOR,SI,Raul Bruno,Aravena Zuniga,raul.aravena@servicioscampamento.cl,C,2025-09-13,2025-09-23
Servicios de Campamento Ltda,Proyecto Sierra Alta,53,Pedro Pedro,Tapia Orellana,ABASTECEDOR,pedro.tapia@servicioscampamento.cl,14.522.588-4,ACREDITADO,ACREDITADO,C,2025-09-13,2025-09-23,SUPERVISOR,SI,Raul Bruno,Aravena Zuniga,raul.aravena@servicioscampamento.cl,C,2025-09-13,2025-09-23
Servicios de Campamento Ltda,Proyecto Sierra Alta,36,Hernan Cristobal,Palma Zuniga,CONDUCTOR OPERADOR,hernan.palma@servicioscampamento.cl,23.514.387-9,ACREDITADO,ACREDITADO,C,2025-09-13,2025-09-23,SUPERVISOR,SI,Raul Bruno,Aravena Zuniga,raul.aravena@servicioscampamento.cl,C,2025-09-13,2025-09-23
Servicios de Campamento Ltda,Proyecto Sierra Alta,26,Ignacio Luis,Aguilera Tapia,CHEF,ignacio.aguilera@servicioscampamento.cl,17.667.420-2,ACREDITADO,NO ACREDITADO,C,2025-08-24,2025-09-03,SUPERVISOR,SI,Raul Bruno,Aravena Zuniga,raul.aravena@servicioscampamento.cl,C,2025-08-24,2025-09-03
Servicios de Campamento Ltda,Proyecto Sierra Alta,6,Eduardo Claudio,Guzman Montes,AYUDANTE DE COCINA,eduardo.guzman@servicioscampamento.cl,21.109.743-4,ACREDITADO,NO ACREDITADO,C,2025-08-24,2025-09-03,SUPERVISOR,SI,Raul Bruno,Aravena Zuniga,raul.aravena@servicioscampamento.cl,C,2025-08-24,2025-09-03
Servicios de Campamento Ltda,Proyecto Sierra Alta,29,Martin Martin,Cortes Sandoval,AYUDANTE DE COCINA,martin.cortes@servicioscampamento.cl,14.107.156-4,ACREDITADO,NO ACREDITADO,C,2025-08-24,2025-09-03,SUPERVISOR,SI,Raul Bruno,Aravena Zuniga,raul.aravena@servicioscampamento.cl,C,2025-08-24,2025-09-03
Servicios de Campamento Ltda,Proyecto Sierra Alta,11,Alejandro Martin,Sepulveda Ahumada,AYUDANTE DE COCINA,alejandro.sepulveda@servicioscampamento.cl,16.506.680-4,ACREDITADO,NO ACREDITADO,C,2025-08-24,2025-09-03,SUPERVISOR,SI,Raul Bruno,Aravena Zuniga,raul.aravena@servicioscampamento.cl,C,2025-08-24,2025-09-03
Servicios de Campamento Ltda,Proyecto Sierra Alta,50,Martin Lucas,Rodriguez Gonzalez,AYUDANTE DE COCINA,martin.rodriguez@servicioscampamento.cl,17.998.640-K,ACREDITADO,NO ACREDITADO,C,2025-08-24,2025-09-03,SUPERVISOR,SI,Raul Bruno,Aravena Zuniga,raul.aravena@servicioscampamento.cl,C,2025-08-24,2025-09-03
Servicios de Campamento Ltda,Proyecto Sierra Alta,16,Mauricio Alvaro,Gallardo Reyes,CAMPAMENTERO,mauricio.gallardo@servicioscampamento.cl,13.650.735-4,ACREDITADO,NO ACREDITADO,C,2025-08-24,2025-09-03,SUPERVISOR,SI,Raul Bruno,Aravena Zuniga,raul.aravena@servicioscampamento.cl,C,2025-08-24,2025-09-03
Servicios de Campamento Ltda,Proyecto Sierra Alta,52,Felipe Alvaro,Zuniga Perez,CAMPAMENTERO,felipe.zuniga@servicioscampamento.cl,14.721.690-4,ACREDITADO,NO ACREDITADO,C,2025-08-24,2025-09-03,SUPERVISOR,SI,Raul Bruno,Aravena Zuniga,raul.aravena@servicioscampamento.cl,C,2025-08-24,2025-09-03
Servicios de Campamento Ltda,Proyecto Sierra Alta,9,Catalina Patricia,Carvajal Hernandez,CAMPAMENTERO,catalina.carvajal@servicioscampamento.cl,10.466.146-7,ACREDITADO,NO ACREDITADO,C,2025-08-24,2025-09-03,SUPERVISOR,SI,Raul Bruno,Aravena Zuniga,raul.aravena@servicioscampamento.cl,C,2025-08-24,2025-09-03
Servicios de Campamento Ltda,Proyecto Sierra Alta,8,Mario Leonardo,Fernandez Ahumada,ABASTECEDOR,mario.fernandez@servicioscampamento.cl,18.886.981-5,ACREDITADO,ACREDITADO,C,2025-08-24,2025-09-03,SUPERVISOR,SI,Raul Bruno,Aravena Zuniga,raul.aravena@servicioscampamento.cl,C,2025-08-24,2025-09-03
Servicios de Campamento Ltda,Proyecto Sierra Alta,53,Pedro Pedro,Tapia Orellana,ABASTECEDOR,pedro.tapia@servicioscampamento.cl,14.522.588-4,ACREDITADO,ACREDITADO,C,2025-08-24,2025-09-03,SUPERVISOR,SI,Raul Bruno,Aravena Zuniga,raul.aravena@servicioscampamento.cl,C,2025-08-24,2025-09-03
Servicios de Campamento Ltda,Proyecto Sierra Alta,5,Luis Agustin,Riquelme Montes,CONDUCTOR OPERADOR,luis.riquelme@servicioscampamento.cl,17.702.082-6,ACREDITADO,ACREDITADO,C,2025-08-24,2025-09-03,SUPERVISOR,SI,Raul Bruno,Aravena Zuniga,raul.aravena@servicioscampamento.cl,C,2025-08-24,2025-09-03
Sondajes del Norte S.A.,Proyecto Sierra Alta,4,Bruno Joaquin,Cortes Carvajal,MECANICO,bruno.cortes@sondajesnorte.cl,13.854.695-0,ACREDITADO,ACREDITADO,C,2025-09-16,2025-09-25,JEFE DE FAENA,NO,Juan Hernan,Rodriguez Munoz,juan.rodriguez@sondajesnorte.cl,C,2025-09-16,2025-09-25
Sondajes del Norte S.A.,Proyecto Sierra Alta,5,Barbara Maria,Aravena Soto,MECANICO,barbara.aravena@sondajesnorte.cl,10.950.874-8,ACREDITADO,ACREDITADO,D,2025-09-16,2025-09-25,JEFE DE FAENA,NO,Juan Hernan,Rodriguez Munoz,juan.rodriguez@sondajesnorte.cl,C,2025-09-16,2025-09-25
Sondajes del Norte S.A.,Proyecto Sierra Alta,227,Roberto Mario,Diaz Munoz,ADMINISTRATIVO,roberto.diaz@sondajesnorte.cl,20.009.533-2,ACREDITADO,ACREDITADO,C,2025-09-16,2025-09-25,JEFE DE FAENA,NO,Juan Hernan,Rodriguez Munoz,juan.rodriguez@sondajesnorte.cl,C,2025-09-16,2025-09-25
